"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"@binance  joins funding for @elonmusk takeover of Twitter #Binance #ElonMuskBuyTwitter #ElonMusk… https://t.co/hFlK6yWtCY",FALSE,0,"binance",2022-05-05 11:06:40,TRUE,NA,"1522170911029624834","877807935493033984","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","cryptonewsz_",0,FALSE,FALSE,NA,NA
"RT @BlackBoxStocks: $TWTR- Musk has revealed that he has raised $7.14bn of funding for his $44bn offer for Twitter, from investors includin…",FALSE,0,NA,2022-05-05 11:00:07,FALSE,NA,"1522169261489336323",NA,"<a href=""https://example.com"" rel=""nofollow"">Fintech Retweeter</a>","DasFintechBot",2,TRUE,FALSE,NA,NA
"RT @BlackBoxStocks: $TWTR- Musk has revealed that he has raised $7.14bn of funding for his $44bn offer for Twitter, from investors includin…",FALSE,0,NA,2022-05-05 10:57:25,FALSE,NA,"1522168585396756485",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ILL666777",2,TRUE,FALSE,NA,NA
"$TWTR- Musk has revealed that he has raised $7.14bn of funding for his $44bn offer for Twitter, from investors incl… https://t.co/BNs0PUX2xX",FALSE,1,NA,2022-05-05 10:55:58,TRUE,NA,"1522168218080751616",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BlackBoxStocks",2,FALSE,FALSE,NA,NA
"RT @raggedtag: #ElonMuskBuysTwitter https://t.co/cVDxL96NJg",FALSE,0,NA,2022-05-05 10:42:36,FALSE,NA,"1522164853359755264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Shiringul",3,TRUE,FALSE,NA,NA
"#ElonMuskTwitter #ElonMuskBuysTwitter #ElonMusk #TwitterTakeover https://t.co/CIOW2z0dIp",FALSE,0,NA,2022-05-05 10:39:16,FALSE,NA,"1522164014318563328",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","RB26416392",0,FALSE,FALSE,NA,NA
"RT @ptownsurf: #ELONONE #ElonMuskBuyTwitter #ElonMusk #ElonMuskBuysTwitter #Elon_Musk #ElonMuskTwitter #Elon #ELON1 $ELON $EONE https://t.c…",FALSE,0,NA,2022-05-05 10:36:57,FALSE,NA,"1522163434636423168",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jimmyleclerc20",9,TRUE,FALSE,NA,NA
"La chaqueta de Elon Musk  en La fiesta de demonios del 2018. “Novus Ordo Seclorum”. #ElonMuskTwitter… https://t.co/UITWGB8iHX",FALSE,0,NA,2022-05-05 10:22:34,TRUE,NA,"1522159815350530048",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","granreinicio",0,FALSE,FALSE,NA,NA
"RT @UltraVi56935050: Daisy, our border collie puppy, was a bit intimidated by the giant grenade at the airsoft field. 

#puppyspam #puppy #…",FALSE,0,NA,2022-05-05 10:15:47,FALSE,NA,"1522158107807436800",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","srnorganics1",3,TRUE,FALSE,NA,NA
"#ElonMusk  #ElonMuskBuyTwitter  #ElonMuskTwitter  #ElonMuskBuysTwitter  #Elon  #ELONONE",FALSE,0,"Sub99072074",2022-05-05 10:15:08,FALSE,"1518830621488926720","1522157943210524674","1496929532200517633","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sub99072074",0,FALSE,FALSE,NA,NA
