"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @FlamingHeadz_: Our giveaway is ending soon! <U+2705> this is the last day to win this <U+0001F525> 
To enter: 
1. Follow @FlamingHeadz_ <U+0001F525>
2. <U+2764><U+FE0F>&amp; rt pinne…",FALSE,0,NA,2022-05-05 01:41:38,FALSE,NA,"1522028714598432769",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","zdarkwing410z",60,TRUE,FALSE,NA,NA
"Does anyone observe any changes in Twitter yet?  #TwitterCEO #Maythe4th  be with you.",FALSE,0,NA,2022-05-05 01:30:51,FALSE,NA,"1522026002758647809",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bar_gus_art",0,FALSE,FALSE,NA,NA
"RT @sharjeel313: Oh my gosh!.... Elon Musk just changed the color of the like button on twitter from<U+0001F499> blue to red <U+2665><U+FE0F> 

#dogecoin  #bitcoins…",FALSE,0,NA,2022-05-05 01:23:36,FALSE,NA,"1522024175854043139",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","person1985",26,TRUE,FALSE,NA,NA
"Isn’t it something that they are suddenly going hard at @elonmusk like they did to Trump?

Trump said he would rest… https://t.co/No85ufGuUd",FALSE,1,NA,2022-05-05 01:17:00,TRUE,NA,"1522022515782082560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LillyDaisy36",0,FALSE,FALSE,NA,NA
"RT @potentissimum_: Eyes on the target. 
 
@PUBGMOBILE 
 
#PUBG #PUBG_MOBILE #gamers #gamer #StarWarsDay #cod #war #smallstreamer #twitchtv…",FALSE,0,NA,2022-05-05 01:13:53,FALSE,NA,"1522021730922942464",NA,"<a href=""https://solbot.weebly.com/"" rel=""nofollow"">Solbot Tweet</a>","SolbotEnergyRsh",1,TRUE,FALSE,NA,NA
"<U+0001F602><U+0001F602> #<U+0CA8><U+0CAE><U+0CCD><U+0CAE>RCB #<U+0C95><U+0CB0><U+0CCD><U+0CA8><U+0CBE><U+0C9F><U+0C95>  #RCB #CSKvRCB #KGF2 #MedTwitter #TwitterCEO #ChampionsLeague https://t.co/7RifmQf79M",FALSE,9,NA,2022-05-05 01:11:37,FALSE,NA,"1522021162607202304",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pallavi_M1",0,FALSE,FALSE,NA,NA
"RT @NFTLegendArt: #NewNFTProfilePic
@ApeReunion #apefollowape #arfollowar #apereunion @Worldwide_WEB3
<U+0001F9A7><U+0001FAC2><U+0001F34C>
#TwitterBlue #TwitterTakeover #Tw…",FALSE,0,NA,2022-05-05 01:11:14,FALSE,NA,"1522021065572204547",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","plexitoeth",11,TRUE,FALSE,NA,NA
"Been on Twitter since 2010! But never really paid attention. Now, it’s my new obsession <U+0001F425> 
#TwitterCEO over &amp; out for today!",FALSE,0,NA,2022-05-05 01:10:32,FALSE,NA,"1522020889763663872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ameerhamza_s",0,FALSE,FALSE,NA,NA
"RT @realmrmusic: If you love authentic music that you can VIBE with then the newest single Lights Out by by @enjoysaintjames is blazing lik…",FALSE,0,NA,2022-05-05 01:09:41,FALSE,NA,"1522020673727733760",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dartey25",2,TRUE,FALSE,NA,NA
"RT @realmrmusic: If you love authentic music that you can VIBE with then the newest single Lights Out by by @enjoysaintjames is blazing lik…",FALSE,0,NA,2022-05-05 01:06:15,FALSE,NA,"1522019811949432834",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","enjoysaintjames",2,TRUE,FALSE,NA,NA
"#May will be Jack's #month This boy has waited at the shelter for the #right #person to go get him. #please make hi… https://t.co/LWb3dc3ks8",FALSE,1,NA,2022-05-05 01:00:46,TRUE,NA,"1522018431616405504",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kindness626",1,FALSE,FALSE,NA,NA
"If you love authentic music that you can VIBE with then the newest single Lights Out by by @enjoysaintjames is blaz… https://t.co/L4EmpHei7k",FALSE,5,NA,2022-05-05 00:56:18,TRUE,NA,"1522017307521957889",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realmrmusic",2,FALSE,FALSE,NA,NA
"@elonmusk #ElonMusk ""fungi"" does multiply quickly <U+0001F61C> #TwitterCEO",FALSE,0,"elonmusk",2022-05-05 00:55:17,FALSE,"1521807738317066240","1522017051405078528","44196397","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","hollywood74",0,FALSE,FALSE,NA,NA
"Comedian Dave Chappelle CLOWNS Guy Who TACKLED Him On Stage During Holly... https://t.co/eM0QvWjeXo via @YouTube… https://t.co/KAuDtIsQ0Y",FALSE,1,NA,2022-05-05 00:47:13,TRUE,NA,"1522015022133747712",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","NoelHauldridge",1,FALSE,FALSE,NA,NA
"#iamYork #Marvel #apocalypse #portrait #painting @Photoshop #xmen #ensabahnur #villians #digitalart #not #an #NFT… https://t.co/1Bbeg08EZV",FALSE,1,NA,2022-05-05 00:44:04,TRUE,NA,"1522014229200609281",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","FenrirTengri",0,FALSE,FALSE,NA,NA
"I'm so done with @Twitter! I'm deleting my... No. I'm not leaving. I'm Not F***ING leaving! Yay :) #joke #humor #funny #Twitter #TwitterCEO",FALSE,0,NA,2022-05-05 00:42:39,FALSE,NA,"1522013870386290692",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","rareadopt",0,FALSE,FALSE,NA,NA
"Bastian prefers to fine AL FRESCO when we’re at the lake<U+0001F4AF> #dog #dogs #dogsoftwitter #TwitterCEO https://t.co/w8hWsw6cFp",FALSE,1,NA,2022-05-05 00:42:33,FALSE,NA,"1522013845362982912",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","bastianandbrews",0,FALSE,FALSE,NA,NA
"Why is #TwitterBlue not available to my country <U+0001F481><U+0001F3FE><U+200D><U+2642><U+FE0F>?
#Web3 #TwitterCEO #Twitter #ElonMusk @elonmusk",FALSE,0,NA,2022-05-05 00:41:38,FALSE,NA,"1522013618371444740",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Family_TiesNFT",0,FALSE,FALSE,NA,NA
"#AamirLiaquat shares to Story asking his kids to “ Not regret when it’s too late” alongside with a picture with his… https://t.co/v9juJMteAo",FALSE,0,NA,2022-05-05 00:37:54,TRUE,NA,"1522012677849370624",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","NeptpkOfficial",0,FALSE,FALSE,NA,NA
"#Health #wellness #Trending #FolloMe #TwitterCEO https://t.co/6qKmpV3nUI",FALSE,0,NA,2022-05-05 00:29:13,FALSE,NA,"1522010493338402816",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","SomalataU",0,FALSE,FALSE,NA,NA
"RT @FlamingHeadz_: Our giveaway is ending soon! <U+2705> this is the last day to win this <U+0001F525> 
To enter: 
1. Follow @FlamingHeadz_ <U+0001F525>
2. <U+2764><U+FE0F>&amp; rt pinne…",FALSE,0,NA,2022-05-05 00:28:59,FALSE,NA,"1522010432562733057",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","ChenZen67185103",60,TRUE,FALSE,NA,NA
"RT @sharjeel313: Oh my gosh!.... Elon Musk just changed the color of the like button on twitter from<U+0001F499> blue to red <U+2665><U+FE0F> 

#dogecoin  #bitcoins…",FALSE,0,NA,2022-05-05 00:28:01,FALSE,NA,"1522010188605280256",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","David99Mar",26,TRUE,FALSE,NA,NA
"Nobody cares about your story  until you win . 
#thursdaymorning #today #Trending #TwitterCEO",FALSE,1,NA,2022-05-05 00:23:12,FALSE,NA,"1522008978925883392",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Manojkukna4",0,FALSE,FALSE,NA,NA
"RT @FlamingHeadz_: Our giveaway is ending soon! <U+2705> this is the last day to win this <U+0001F525> 
To enter: 
1. Follow @FlamingHeadz_ <U+0001F525>
2. <U+2764><U+FE0F>&amp; rt pinne…",FALSE,0,NA,2022-05-05 00:22:59,FALSE,NA,"1522008921950416896",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Smilingeyes92",60,TRUE,FALSE,NA,NA
"Se você colocou esse desejo no seu coração e for da vontade de Deus... então não há impossível para um coração chei… https://t.co/Jw2hX87ZWN",FALSE,0,NA,2022-05-05 00:14:05,TRUE,NA,"1522006684201361409",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","paulozangarini1",0,FALSE,FALSE,NA,NA
"RT @FlamingHeadz_: Our giveaway is ending soon! <U+2705> this is the last day to win this <U+0001F525> 
To enter: 
1. Follow @FlamingHeadz_ <U+0001F525>
2. <U+2764><U+FE0F>&amp; rt pinne…",FALSE,0,NA,2022-05-05 00:11:51,FALSE,NA,"1522006121929748484",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LitCoachB",60,TRUE,FALSE,NA,NA
".@iloveitalyy Good Night @Twitter #TwitterCEO #Twitter #PleaseRT https://t.co/rH0HzNeTEF",FALSE,2,NA,2022-05-05 00:11:45,FALSE,NA,"1522006096189272065",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","iloveitalyy",0,FALSE,FALSE,NA,NA
"RT @FlamingHeadz_: Our giveaway is ending soon! <U+2705> this is the last day to win this <U+0001F525> 
To enter: 
1. Follow @FlamingHeadz_ <U+0001F525>
2. <U+2764><U+FE0F>&amp; rt pinne…",FALSE,0,NA,2022-05-05 00:04:22,FALSE,NA,"1522004239618387969",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","retrosyncratic",60,TRUE,FALSE,NA,NA
