text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude,sentiment
"['flamingheadz_', 'our', 'giveaway', 'end', 'soon', 'u', 'last', 'day', 'win', 'uf', 'to', 'enter', 'follow', 'flamingheadz_', 'uf', 'uufefamp', 'rt', 'pinn']",False,0,,2022-05-05 01:41:38,False,,1522028714598432769,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",zdarkwing410z,60,True,False,,,0.5859
"['doe', 'anyon', 'observ', 'chang', 'twitter', 'yet', 'twitterceo', 'maytheth', 'you']",False,0,,2022-05-05 01:30:51,False,,1522026002758647809,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",bar_gus_art,0,False,False,,,0.0
"['sharjeel', 'oh', 'gosh', 'elon', 'musk', 'chang', 'color', 'like', 'button', 'fromuf', 'blue', 'red', 'uufef', 'dogecoin', 'bitcoin']",False,0,,2022-05-05 01:23:36,False,,1522024175854043139,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",person1985,26,True,False,,,0.3612
"['isnt', 'someth', 'suddenli', 'go', 'hard', 'elonmusk', 'like', 'trump', 'trump', 'said', 'would', 'rest']",False,1,,2022-05-05 01:17:00,True,,1522022515782082560,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",LillyDaisy36,0,False,False,,,0.2732
"['potentissimum_', 'eye', 'target', 'pubgmobil', 'pubg', 'pubg_mobil', 'gamer', 'gamer', 'starwarsday', 'cod', 'war', 'smallstream', 'twitchtv']",False,0,,2022-05-05 01:13:53,False,,1522021730922942464,,"<a href=""https://solbot.weebly.com/"" rel=""nofollow"">Solbot Tweet</a>",SolbotEnergyRsh,1,True,False,,,-0.5994
"['ufuf', 'ucaucaeuccducaercb', 'ucucbuccducaucbeucfuc', 'rcb', 'cskvrcb', 'kgf', 'medtwitt', 'twitterceo', 'championsleagu']",False,9,,2022-05-05 01:11:37,False,,1522021162607202304,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Pallavi_M1,0,False,False,,,0.0
"['nftlegendart', 'newnftprofilep', 'apereunion', 'apefollowap', 'arfollowar', 'apereunion', 'worldwide_web', 'ufaufacufc', 'twitterblu', 'twittertakeov', 'tw']",False,0,,2022-05-05 01:11:14,False,,1522021065572204547,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",plexitoeth,11,True,False,,,0.0
"['been', 'twitter', 'sinc', 'but', 'never', 'realli', 'paid', 'attent', 'now', 'it', 'new', 'obsess', 'uf', 'twitterceo', 'amp', 'today']",False,0,,2022-05-05 01:10:32,False,,1522020889763663872,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ameerhamza_s,0,False,False,,,-0.4767
"['realmrmus', 'if', 'love', 'authent', 'music', 'vibe', 'newest', 'singl', 'light', 'out', 'enjoysaintjam', 'blaze', 'lik']",False,0,,2022-05-05 01:09:41,False,,1522020673727733760,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",dartey25,2,True,False,,,0.6369
"['realmrmus', 'if', 'love', 'authent', 'music', 'vibe', 'newest', 'singl', 'light', 'out', 'enjoysaintjam', 'blaze', 'lik']",False,0,,2022-05-05 01:06:15,False,,1522019811949432834,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",enjoysaintjames,2,True,False,,,0.6369
"['may', 'jack', 'month', 'thi', 'boy', 'wait', 'shelter', 'right', 'person', 'go', 'get', 'him', 'pleas', 'make', 'hi']",False,1,,2022-05-05 01:00:46,True,,1522018431616405504,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Kindness626,1,False,False,,,0.3182
"['if', 'love', 'authent', 'music', 'vibe', 'newest', 'singl', 'light', 'out', 'enjoysaintjam', 'blaz']",False,5,,2022-05-05 00:56:18,True,,1522017307521957889,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",realmrmusic,2,False,False,,,0.6369
"['elonmusk', 'elonmusk', 'fungi', 'multipli', 'quickli', 'ufc', 'twitterceo']",False,0,elonmusk,2022-05-05 00:55:17,False,1.5218077383170662e+18,1522017051405078528,44196397.0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",hollywood74,0,False,False,,,0.0
"['comedian', 'dave', 'chappel', 'clown', 'guy', 'who', 'tackl', 'him', 'on', 'stage', 'dure', 'holli', 'via', 'youtub']",False,1,,2022-05-05 00:47:13,True,,1522015022133747712,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NoelHauldridge,1,False,False,,,0.3818
"['iamyork', 'marvel', 'apocalyps', 'portrait', 'paint', 'photoshop', 'xmen', 'ensabahnur', 'villian', 'digitalart', 'not', 'an', 'nft']",False,1,,2022-05-05 00:44:04,True,,1522014229200609281,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",FenrirTengri,0,False,False,,,0.4215
"['im', 'done', 'twitter', 'im', 'delet', 'my', 'no', 'im', 'leav', 'im', 'not', 'fing', 'leav', 'yay', 'joke', 'humor', 'funni', 'twitter', 'twitterceo']",False,0,,2022-05-05 00:42:39,False,,1522013870386290692,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",rareadopt,0,False,False,,,0.3013
